MUNICIPIO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,TOTAL
LAGOA DO CARRO,0,1,0,1,1,0,0,0,2,0,1,6
LAGOA DE ITAENGA,0,0,1,0,0,1,0,2,0,0,1,5
LAGOA DO OURO,0,1,0,0,0,0,0,1,1,0,0,3
LAGOA DOS GATOS,0,0,0,0,0,0,0,0,0,0,0,0
LAGOA GRANDE,1,0,1,1,1,4,1,0,2,1,1,13
LAJEDO,3,1,0,2,0,1,0,0,0,3,0,10
LIMOEIRO,3,2,0,4,1,2,1,0,3,0,0,16
MACAPARANA,1,0,1,0,0,0,0,1,1,0,0,4
MACHADOS,0,0,0,0,0,0,0,0,0,0,0,0
MANARI,0,0,1,0,0,0,2,0,1,0,0,4
MARAIAL,1,0,0,0,0,0,0,1,0,0,0,2
MIRANDIBA,0,0,0,1,0,0,0,0,2,0,0,3
MOREILANDIA,2,0,1,0,0,0,0,0,0,0,0,3
MORENO,0,0,1,3,2,2,1,2,0,1,1,13
NAZARE DA MATA,5,2,0,1,0,2,1,0,1,0,1,13
OLINDA,8,13,13,6,7,12,11,10,11,7,7,105
OROBO,0,0,2,0,0,0,0,1,0,0,0,3
OROCO,0,0,0,0,0,0,0,1,1,0,0,2
OURICURI,1,0,3,3,0,1,1,1,2,1,3,16
PALMARES,1,3,1,3,6,3,0,2,1,1,4,25
PALMEIRINA,0,0,0,0,2,0,0,0,0,0,0,2
PANELAS,1,0,0,0,1,1,0,0,0,0,0,3
PARANATAMA,0,0,0,0,0,0,0,0,0,0,0,0
PARNAMIRIM,1,0,0,0,0,0,0,0,0,0,0,1
PASSIRA,0,0,0,0,0,1,1,1,0,0,2,5
PAUDALHO,1,0,0,1,0,1,2,1,4,1,0,11
PAULISTA,10,11,9,7,8,6,5,8,9,6,4,83
PEDRA,1,3,0,0,0,0,0,1,1,0,2,8
PESQUEIRA,2,4,4,1,1,0,0,2,2,0,3,19
PETROLANDIA,1,0,3,3,0,2,3,0,1,2,0,15
PETROLINA,9,11,15,14,5,11,13,3,6,11,10,108
POCAO,0,4,0,0,0,0,1,2,1,3,1,12
POMBOS,0,3,0,1,1,0,0,0,2,0,0,7
PRIMAVERA,1,0,0,0,1,0,0,0,1,0,0,3
QUIPAPA,0,0,0,0,0,0,0,0,0,1,0,1
QUIXABA,0,0,0,0,0,0,0,0,0,2,0,2
RECIFE,36,36,36,43,32,46,44,36,32,30,25,396
RIACHO DAS ALMAS,1,2,0,2,2,0,2,0,0,0,0,9
RIBEIRAO,1,1,0,1,0,0,0,1,0,1,0,5
RIO FORMOSO,0,0,0,0,0,0,0,0,0,1,0,1
SAIRE,0,0,0,1,1,1,0,0,0,0,0,3
SALGADINHO,0,0,0,0,0,0,0,0,0,0,0,0
SALGUEIRO,3,0,0,2,1,0,3,0,1,1,1,12
SALOA,0,0,0,2,3,0,1,0,0,0,0,6
SANHARO,0,2,0,0,0,1,0,2,0,0,0,5
SANTA CRUZ,0,0,0,0,0,1,0,1,0,1,0,3
SANTA CRUZ DA BAIXA VERDE,0,1,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DO CAPIBARIBE,4,4,3,2,4,2,5,4,7,0,5,40
SANTA FILOMENA,0,0,1,0,0,0,0,2,0,0,1,4
SANTA MARIA DA BOA VISTA,1,1,0,2,0,2,1,0,1,1,1,10
SANTA MARIA DO CAMBUCA,0,0,1,0,1,0,0,0,1,0,1,4
SANTA TEREZINHA,0,0,0,1,0,1,0,0,0,0,0,2
SAO BENEDITO DO SUL,0,1,0,0,0,0,0,0,0,0,0,1
SAO BENTO DO UNA,3,0,1,2,2,0,0,0,0,1,0,9
